id;name;latitude;longitude;altitude;planperiode;project_context;programma_items;ambitie_items;partners_items;description_text
1;Winkelcentrum 't Harde;52.41500547299878;5.883222505178873;8.191075048426137;2010-2016;t Harde – uitbreiding en transformatie naar een toekomstbestendige woon- en winkelomgeving.;woningbouw: ±200 woningen (koop-huur-zorg) | voorzieningen: ca. 6.000 m² 2 supermarkten en retail | (openbaar)gebied: ca. 4 hectare ;Herstructurering, revitalisering van een monotoom winkelcentrum. 30 zorgappartementen voor ’s Heerenloo;Gemeente Elburg, marktpartijen Volkerwessels & Kondor Wessels Projecten, supermarkten Boni & Deen  | Opdrachtgever UWOON;"🏙
 t Harde
 – uitbreiding en transformatie naar een
toekomstbestendige woon- en winkelomgeving.
📅
Planperiode
2010 – 2016
📐
Programma
- woningbouw: ±200 woningen
- voorzieningen: ca. 15.000 m²
- (openbaar)gebied: ca. 4 hectare
- Energie&mobiliteit: laadplein, BESS, zonnepanelen
🚀 Ambitie
- Energieneutraal wijkconcept
- Circulaire materialen
- Waterrobust en klimaatadaptief
- Buurtschap 2.0 principes
🤝
Partners & Stakeholders
Gemeente Elburg, marktpartijen, energiepartners, ontwerp
en stedenbouw.
Opdrachtgever UWOON"
2;Thomashuis;52.41716072104534;5.881804809545925;11.02408022721899;2012-2015;t Harde – kleinschalige zorgopvang;woningen ±15 eenheden | voorzieningen: | (openbaar)gebied: ca. 1 hectare;Gezinsvervangend huis voor zorg met terugbouw scenario naar reguliere woningbouw;Gemeente Elburg, DrieNotenBomen Thomashuizen | Opdrachtgever UWOON;"🏙
 t Harde
 – kleinschalige zorgopvang
📅
Planperiode
2012 – 2015
📐
Programma
- woningen ±15 eenheden
- voorzieningen: -
- (openbaar)gebied: ca. 1 hectare
- Energie&mobiliteit: -
🚀 Ambitie
- terug bouw scenario
🤝
Partners & Stakeholders
Gemeente Elburg, DrieNotenBomen Thomashuizen."
3;Plan Heidezoom;52.41233125182147;5.867817858142816;6.532763108447059;2008-2013;t Harde – Plan heidezoom uitleg locatie;woningbouw: 80 huur-koopwoningen | voorzieningen: | (openbaar)gebied: ca. 8 hectare;Gebiedsontwikkeling;Gemeente Elburg, marktpartijen VanWonen | Opdrachtgever Omnia Wonen;"🏙
 t Harde
 – Plan heidezoom uitleg locatie
📅
Planperiode
2008 – 2013
📐
Programma
- woningbouw: 80 huur-koopwoningen
- voorzieningen: -
- (openbaar)gebied: ca. 8 hectare
- Energie&mobiliteit: op maaiveld
🚀 Ambitie
- Energie wijkconcept
🤝
Partners & Stakeholders
Gemeente Elburg, marktpartijen, ontwerp
en stedenbouw.
Opdrachtgever Omnia Wonen"
4;Heidestate;52.41301968517805;5.869491391641237;9.518229382890027;2010-2014;t Harde – Heidestate;zorg vastgoed: ±24 zorgeenheden;Nieuwbouw;Gemeente Elburg, Zorggroep Careander | Opdrachtgever UWOON;"🏙
 t Harde
 – Heidestate
📅
Planperiode
2010 – 2014
📐
Programma
- woningbouw: ±24 zorgeenheden
🚀 Ambitie
- zorg vastgoed
🤝
Partners & Stakeholders
Gemeente Elburg, Zorggroep Careander bouwteampartner Schutte Bouw
Opdrachtgever UWOON"
5;Baron van Lynden;52.44524447056516;5.841682049564643;2.001273862613706;2008-2012;Elburg – Baron van Lynden, FA-hoed en huur-koopappartementen;woningbouw: ±200 woningen | voorzieningen: ca. 1.200 m² gezondheidscentrum (FA-hoed) | (openbaar)gebied: ca. 1 hectare;Mixed use gebiedsontwikkeling;Gemeente, marktpartij BPD, apotheek, fysio, huisartsen | Opdrachtgever UWOON;"🏙
 Elburg
 – Baron van Lynden, FA-hoed en huur-koopappartementen
📅
Planperiode
2008 – 2012
📐
Programma
- woningbouw: ±200 woningen
- voorzieningen: ca. 1.200 m²
- (openbaar)gebied: ca. 1 hectare
🚀 Ambitie
- Mixed use
🤝
Partners & Stakeholders
Gemeente, marktpartijen, zorgpartners, huisartsen, bouwteam
Opdrachtgever UWOON"
6;Plan Koeland;52.44121644127083;5.894340584760378;2.001227163655426;2010-2013;Oldebroek – woongebouw;woningbouw: 26 huurwoningen en een gezinsvervangend huis;Woningbouw in combinatie met zorgvastgoed;Gemeente, marktpartij Prins Bouw, zorg S’ Heerenloo | Opdrachtgever UWOON;"🏙
 Oldebroek
 – woongebouw
📅
Planperiode
2010 – 2013
📐
Programma
- woningbouw: 26 huurwoningen
🚀 Ambitie
- afname huuraandeel uit plan Koeland
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw.
Opdrachtgever UWOON"
7;Sytzemalaan;52.44620872173819;5.899272481894804;3.513743507283273;2010-2013;Oldebroek – woongebouw Sytzema;woningbouw: 20 huurappartementen;Transformatie winkelcentrum;Gemeente, marktpartij Prins Bouw | Opdrachtgever UWOON;"🏙
 Oldebroek
 – woongebouw Sytzema
📅
Planperiode
2010 – 2013
📐
Programma
- woningbouw: 20 huurwoningen
🚀 Ambitie
- transformatie winkelcentrum
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw.
Opdrachtgever UWOON"
8;Plan Molenbeek;52.38914736746572;5.789995560635626;4.011098568886331;2016-2020;Nunspeet – gebiedsontwikkeling plan Molenbeek RugaanRug woningen en concept woningbouw;woningbouw: ±20 huurwoningen;Energieneutraal wijkconcept | Nul op de Meter huurwoningen | Woonconcept MorgenWonen;Gemeente, marktpartij Volker Wessels | Opdrachtgever Omnia Wonen;"🏙
 Nunspeet
 – gebiedsontwikkeling plan Molenbeek RugaanRug woningen en concept woningbouw
📅
Planperiode
2016 – 2020
📐
Programma
- woningbouw: ±70 huurwoningen
- (openbaar)gebied: ca. 3 hectare
- Energie&mobiliteit: gasloos
🚀 Ambitie
- Energieneutraal wijkconcept
- 20 NOM huurwoningen
- Woonconcept MorgenWonen
🤝
Partners & Stakeholders
Gemeente, marktpartijen, energiepartners, ontwerp
en stedenbouw.
Opdrachtgever Omnia Wonen"
9;Prinsenhof;52.33445048921362;5.632418352513717;6.394065796193895;2010-2013;Harderwijk – woongebouw Prinsenhof;woningbouw: ±49 huurappartementen;woningbouw;Gemeente | Opdrachtgever UWOON;"🏙
 Harderwijk
 – woongebouw Prinsenhof
📅
Planperiode
2010 – 2013
📐
Programma
- woningbouw: ±49 huurappartementen
🚀 Ambitie
- geen bijzonderheden
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw.
Opdrachtgever UWOON"
10;Plan Het Trefpunt;52.31374685590939;5.622029248538492;14.4698815133255;2007-2016;Ermelo – gebiedstransformatie naar een toekomstbestendige woonomgeving (tender gemeente Ermelo).;woningbouw: ±220 woningen | (openbaar)gebied: ca. 9 hectare | zorg vastgoed Thomashuis;co-housing concept | waterrobust en klimaatadaptief | zorg thomashuis | landschappelijk inpassing ;Gemeente, DrieNotenBomen | Opdrachtgever UWOON;"🏙
 Ermelo
 – gebiedstransformatie naar een
toekomstbestendige woonomgeving (tender gemeente Ermelo).
📅
Planperiode
2007 – 2016
📐
Programma
- woningbouw: ±220 woningen
- (openbaar)gebied: ca. 9 hectare
🚀 Ambitie
- co-housing concept
- waterrobust en klimaatadaptief
- zorg thomashuis
🤝
Partners & Stakeholders
Gemeente, marktpartijen, DrieNotenBomen, zorgpartners, ontwerp
en stedenbouw.
Opdrachtgever UWOON"
11;Plan de Verbinding;52.30188314570279;5.631124592799816;18.32133032906536;2010-2016;Ermelo – herstructurering en gebiedstransformatie 'De Verbinding' een toekomstbestendige woon- en winkelomgeving.;woningbouw: ±200 woningen | voorzieningen: ca. 5.000 m² | (openbaar)gebied: ca. 4 hectare;bouwconcept;Gemeente, marktpartijen Albert Heijn, Volker Wessels, Green | Opdrachtgever UWOON;"🏙
 Ermelo
 – herstructurering en gebiedstransformatie 'De Verbinding' een
toekomstbestendige woon- en winkelomgeving.
📅
Planperiode
2010 – 2016
📐
Programma
- woningbouw: ±200 woningen
- voorzieningen: ca. 5.000 m²
- (openbaar)gebied: ca. 4 hectare
🚀 Ambitie
- bouwconcept
🤝
Partners & Stakeholders
Gemeente, marktpartijen, investeerders ontwerp
en stedenbouw.
Opdrachtgever UWOON"
12;Plan Herbergier;52.30088822098632;5.628234816014793;15.4524026694394;2008-2013;Ermelo – transformatie taxibakker naar een nieuwbouw zorg De Herbergier;Zorg vastgoed: ±30 zorgeenheden;woon-zorgconcept De Herbergier;Gemeente, De Drie Notenbomen | Opdrachtgever UWOON;"🏙
 Ermelo
 – transformatie taxibakker naar een nieuwbouw zorg De Herbergier
📅
Planperiode
2008 – 2013
📐
Programma
- woningbouw: ±30 zorgeenheden
🚀 Ambitie
- woon-zorgconcept De Herbergier
🤝
Partners & Stakeholders
Gemeente, zorgpartners, ontwerp
en stedenbouw.
Opdrachtgever UWOON"
13;Zorgcomplex 'De ijsvogel';52.2943700694661;5.616279247273965;14.40603032516933;2008-2012;Ermelo – De IJsvogel is een moderne woonzorglocatie, intramurale zorg verpleging en langdurig thuis wonen gecombineerd op 1 plek;Zorg vastgoed: ±50 zorgeenheden;moderne woonzorglocatie, mixed-use vastgoed WOZOCO, beschermd wonen;Gemeente, Zorggroep NoordWest Veluwe | Opdrachtgever UWOON;"🏙
 Ermelo
 – De IJsvogel is een moderne woonzorglocatie, intramurale zorg verpleging en langdurig thuis wonen gecombineerd op 1 plek
📅
Planperiode
2008 – 2012
📐
Programma
- woningbouw: ±50 zorgeenheden
🚀 Ambitie
- moderne woonzorglocatie
- mixed-use vastgoed WOZOCO
- beschermd wonen
🤝
Partners & Stakeholders
Gemeente, zorgpartners, onderwijs, ontwerp
en stedenbouw.
Opdrachtgever UWOON"
